Activity Title,Activity Type,Economy (Name),Economy Count,Workstream (Name),Workstream Count,City,Latitude,Longitude,Start Date,# Participants,# Outputs Delivered,Metric Value,Activity Count,Last Updated,Deliverable / Notes
Workshop on Digital Standards: Shaping the Future of Standardization,Technical Workshops and Policy Dialogues,Malaysia,1,Digital Standards,1,Incheon,37.4563,126.7052,2025-07-27,34,,1,1,2026-03-03T07:37:53.654301,
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,Technical Workshops and Policy Dialogues,Malaysia,1,TBT,1,Incheon,37.4563,126.7052,2025-07-28,56,,1,1,2026-03-03T07:37:53.654301,
Workshop on Advancing Cloud Transformation,Technical Workshops and Policy Dialogues,Malaysia,1,Cloud Computing,1,Incheon,37.4563,126.7052,2025-07-31,24,,1,1,2026-03-03T07:37:53.654301,
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,Technical Workshops and Policy Dialogues,Malaysia,1,FTAAP,1,Incheon,37.4563,126.7052,2025-08-01,36,,1,1,2026-03-03T07:37:53.654301,
APEC 17th A2C2 Meeting,Technical Workshops and Policy Dialogues,Malaysia,1,Supply Chains,1,Incheon,37.4563,126.7052,2025-08-02,26,,1,1,2026-03-03T07:37:53.654301,
APEC Workshop on Services Technical Standards Development: The Process and Impact,Technical Workshops and Policy Dialogues,Malaysia,1,Services,1,Incheon,37.4563,126.7052,2025-08-05,28,,1,1,2026-03-03T07:37:53.654301,
Digital Trade Policy Dialogue,Technical Workshops and Policy Dialogues,Malaysia,1,Digital Trade,1,Incheon,37.4563,126.7052,2025-08-06,36,,1,1,2026-03-03T07:37:53.654301,
APEC 18th GRP Conference,Technical Workshops and Policy Dialogues,Malaysia,1,GRP,1,Incheon,37.4563,126.7052,2025-08-06,,,1,1,2026-03-03T07:37:53.654301,
APEC Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,Technical Workshops and Policy Dialogues,Malaysia,1,Services,1,Incheon,37.4563,126.7052,2025-08-08,32,,1,1,2026-03-03T07:37:53.654301,
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,Technical Workshops and Policy Dialogues,Malaysia,1,Trade Data,1,Incheon,37.4563,126.7052,2025-08-08,12,,1,1,2026-03-03T07:37:53.654301,
APEC Alliance for Supply Chain Connectivity Regional Roundtable,Technical Workshops and Policy Dialogues,New Zealand,1,Supply Chains,1,Mexico City,19.4326,19.4326,2026-01-13,,,1,1,2026-03-03T07:37:53.654301,
Placeholder,Targeted Technical Assistance Economy-Level Programs,,0,,0,Dummy City,,,,,,1,1,2026-03-03T07:37:53.654301,
Placeholder,Institutional Support to APEC,,0,,0,Dummy City,,,,,,1,1,2026-03-03T07:37:53.654301,
Placeholder,Support to U.S. Engagement in APEC Fora,,0,,0,Dummy City,,,,,,1,1,2026-03-03T07:37:53.654301,
